2026-04-21 12:35:31,717 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:35:31,717 | WARNING | aiogram.dispatcher | Sleep for 4.891159 seconds and try again... (tryings = 13, bot id = 8514921407)
2026-04-21 12:35:36,624 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:35:36,624 | WARNING | aiogram.dispatcher | Sleep for 5.044897 seconds and try again... (tryings = 14, bot id = 8514921407)
2026-04-21 12:35:41,690 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:35:41,690 | WARNING | aiogram.dispatcher | Sleep for 4.854175 seconds and try again... (tryings = 14, bot id = 8514921407)
2026-04-21 12:35:46,559 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:35:46,559 | WARNING | aiogram.dispatcher | Sleep for 4.883570 seconds and try again... (tryings = 15, bot id = 8514921407)
2026-04-21 12:35:51,461 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:35:51,462 | WARNING | aiogram.dispatcher | Sleep for 5.041620 seconds and try again... (tryings = 15, bot id = 8514921407)
2026-04-21 12:35:56,517 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:35:56,517 | WARNING | aiogram.dispatcher | Sleep for 5.103434 seconds and try again... (tryings = 16, bot id = 8514921407)
2026-04-21 12:36:01,641 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:36:01,641 | WARNING | aiogram.dispatcher | Sleep for 5.232801 seconds and try again... (tryings = 16, bot id = 8514921407)
2026-04-21 12:36:06,890 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
